LOCATION_ID,STREET_ADDRESS,POSTAL_CODE,CITY,STATE_PROVINCE,COUNTRY_ID
10,1297 Via Cola di Rie,989,Roma,,IT
10,93091 Calle della Testa,10934,Venice,,IT
20,2017 Shinjuku-ku,1689,Tokyo,Tokyo Prefecture,JP
25,9450 Kamiya-cho,6823,Hiroshima,,JP
30,2014 Jabberwocky Rd,26192,Southlake,Texas,US
35,2011 Interiors Blvd,99236,South San Francisco,California,US
40,2007 Zagora St,50090,South Brunswick,New Jersey,US
10,2004 Charade Rd,98199,Seattle,Washington,US
10,147 Spadina Ave,M5V 2L7,Toronto,Ontario,CA
15,6092 Boxwood St,YSW 9T2,Whitehorse,Yukon,CA
15,40-5-12 Laogianggen,190518,Beijing,,CN
15,1298 Vileparle (E),490231,Bombay,Maharashtra,IN
15,12-98 Victoria Street,2901,Sydney,New South Wales,AU
15,198 Clementi North,540198,Singapore,,SG
10,8204 Arthur St,,London,,UK
10,"Magdalen Centre, The Oxford Science Park",OX9 9ZB,Oxford,Oxford,UK
20,9702 Chester Road,9629850293,Stretford,Manchester,UK
25,Schwanthalerstr. 7031,80925,Munich,Bavaria,DE
30,Rua Frei Caneca 1360 ,01307-002,Sao Paulo,Sao Paulo,BR
35,20 Rue des Corps-Saints,1730,Geneva,Geneve,CH
40,Murtenstrasse 921,3095,Bern,BE,CH
10,Pieter Breughelstraat 837,3029SK,Utrecht,Utrecht,NL
10,Mariano Escobedo 9991,11932,Mexico City,"Distrito Federal,",MX
